category,rating,label,text
Home_and_Kitchen_5,5.0,CG,"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty"
Home_and_Kitchen_5,5.0,CG,"love it, a great upgrade from the original.  I've had mine for a couple of years"
Home_and_Kitchen_5,5.0,OR,"Excellent quality product. Perfect for my ccozinha."
Home_and_Kitchen_5,5.0,OR,"This fan is really pretty and I actually use it".
Home_and_Kitchen_5,1.0,OR,"Super rough, not soft wash cloths, more like bar towels"
Home_and_Kitchen_5,5.0,CG,"This pillow saved my back. I love the look and feel of this pillow."
Home_and_Kitchen_5,4.0,CG,"Great quality, beautiful color.  We have had the same one for a few months now and love"
Home_and_Kitchen_5,1.0,CG,"I put paper in one corner of the cabinet and put a piece of paper in the other corner."
Home_and_Kitchen_5,3.0,CG,"I was surprised by this little machine, as it is a little noisy, but I was just as pleased with the quality of the design.  The basic design is solid, and it is easy to clean.  It is a bit on"
Home_and_Kitchen_5,1.0,CG,"Thoroughly disappointed. Purchased this pan for a professional cook and it was a disappointment.  I was disappointed.  If you want a nice, solid pan, the Teflon is the best pan you'll ever buy."
Home_and_Kitchen_5,5.0,CG,"This cling is very detailed; it has the design of a thick fabric. It is very strong and sturdy. The top is a nice, solid piece of fabric. It does take a bit of work to get it to hang, but it"
Home_and_Kitchen_5,4.0,OR,"Made of solid wood, with a cutting board style top, this cart was a little smaller than I expected, but the quality was better than I expected. It's solid. There is some assembly required - about 45 minutes worth. Given the price, not a bad deal at all."
Home_and_Kitchen_5,2.0,OR,"These are great for the first few months. A few of my pieces (the whisk and spatula to be specific) have fallen a part and I have since had to throw them away. The tops of them start to slip off and won't stay on while you're cooking."
Home_and_Kitchen_5,1.0,OR,"Very creaky.  Not a good buy.  The slats kept falling out because they weren't cut long enough.  You will probably have to get a metal platform base in addition to this frame.  I did.  Better to buy something else that's actually solid wood."
